,date,new_cases,new_deaths,new_tests,positive_rate,new_vaccinations
160818,2020-01-22,,,,,
160819,2020-01-23,0.0,,,,
160820,2020-01-24,1.0,,,,
160821,2020-01-25,0.0,,,,
160822,2020-01-26,1.0,,,,
160823,2020-01-27,1.0,,,,
160824,2020-01-28,0.0,,,,
160825,2020-01-29,0.0,,,,
160826,2020-01-30,0.0,,,,
160827,2020-01-31,7.0,,,,
160828,2020-02-01,1.0,,,,
160829,2020-02-02,3.0,,,,
160830,2020-02-03,0.0,,,,
160831,2020-02-04,1.0,,,,
160832,2020-02-05,3.0,,,,
160833,2020-02-06,4.0,,,,
160834,2020-02-07,1.0,,,,
160835,2020-02-08,0.0,,745.0,,
160836,2020-02-09,1.0,,501.0,,
160837,2020-02-10,2.0,,512.0,,
160838,2020-02-11,1.0,,1215.0,,
160839,2020-02-12,0.0,,1299.0,,
160840,2020-02-13,0.0,,887.0,,
160841,2020-02-14,0.0,,731.0,,
160842,2020-02-15,0.0,,492.0,0.0007,
160843,2020-02-16,1.0,,427.0,0.0007,
160844,2020-02-17,1.0,,557.0,0.0005,
160845,2020-02-18,1.0,,1054.0,0.0006,
160846,2020-02-19,0.0,,1401.0,0.0005,
160847,2020-02-20,73.0,1.0,2029.0,0.0114,
160848,2020-02-21,100.0,1.0,3198.0,0.0192,
160849,2020-02-22,229.0,0.0,5186.0,0.0292,
160850,2020-02-23,169.0,4.0,4593.0,0.0318,
160851,2020-02-24,231.0,2.0,6577.0,0.0334,
160852,2020-02-25,144.0,2.0,7548.0,0.031,
160853,2020-02-26,284.0,2.0,13249.0,0.028999999999999998,
160854,2020-02-27,505.0,1.0,13099.0,0.0311,
160855,2020-02-28,571.0,0.0,14515.0,0.0329,
160856,2020-02-29,813.0,3.0,12888.0,0.0375,
160857,2020-03-01,586.0,1.0,4866.0,0.0431,
160858,2020-03-02,599.0,11.0,10670.0,0.0456,
160859,2020-03-03,851.0,0.0,16260.0,0.0492,
160860,2020-03-04,435.0,7.0,10856.0,0.0524,
160861,2020-03-05,467.0,0.0,9834.0,0.0541,
160862,2020-03-06,505.0,7.0,18199.0,0.0509,
160863,2020-03-07,448.0,2.0,13449.0,0.0462,
160864,2020-03-08,273.0,6.0,10329.0,0.0399,
160865,2020-03-09,164.0,3.0,8100.0,0.0361,
160866,2020-03-10,35.0,1.0,13526.0,0.0276,
160867,2020-03-11,242.0,6.0,12251.0,0.0249,
160868,2020-03-12,114.0,6.0,12603.0,0.0201,
160869,2020-03-13,110.0,0.0,13649.0,0.0165,
160870,2020-03-14,107.0,6.0,12687.0,0.0126,
160871,2020-03-15,76.0,3.0,6878.0,0.0106,
160872,2020-03-16,74.0,0.0,6292.0,0.0097,
160873,2020-03-17,84.0,6.0,12212.0,0.0105,
160874,2020-03-18,93.0,3.0,8931.0,0.009000000000000001,
160875,2020-03-19,152.0,7.0,11377.0,0.0097,
160876,2020-03-20,87.0,3.0,9640.0,0.0099,
160877,2020-03-21,147.0,8.0,10845.0,0.0108,
160878,2020-03-22,162.0,9.0,4271.0,0.0126,
160879,2020-03-23,0.0,0.0,6256.0,0.0114,
160880,2020-03-24,76.0,9.0,10546.0,0.0116,
160881,2020-03-25,100.0,6.0,9314.0,0.0116,
160882,2020-03-26,104.0,5.0,7046.0,0.0117,
160883,2020-03-27,91.0,8.0,12019.0,0.0113,
160884,2020-03-28,146.0,5.0,10964.0,0.0112,
160885,2020-03-29,105.0,8.0,6216.0,0.01,
160886,2020-03-30,78.0,6.0,1053.0,0.0122,
160887,2020-03-31,125.0,4.0,15370.0,0.0121,
160888,2020-04-01,101.0,3.0,10983.0,0.0118,
160889,2020-04-02,89.0,4.0,10196.0,0.011000000000000001,
160890,2020-04-03,86.0,5.0,11530.0,0.011000000000000001,
160891,2020-04-04,94.0,3.0,11759.0,0.0101,
160892,2020-04-05,81.0,6.0,6201.0,0.0097,
160893,2020-04-06,47.0,3.0,5571.0,0.0087,
160894,2020-04-07,47.0,6.0,10500.0,0.0082,
160895,2020-04-08,53.0,8.0,8699.0,0.0077,
160896,2020-04-09,39.0,4.0,8708.0,0.0071,
160897,2020-04-10,27.0,4.0,8340.0,0.0065,
160898,2020-04-11,30.0,3.0,7428.0,0.0058,
160899,2020-04-12,32.0,3.0,4143.0,0.0052,
160900,2020-04-13,25.0,3.0,4121.0,0.0049,
160901,2020-04-14,27.0,5.0,8695.0,0.0046,
160902,2020-04-15,27.0,3.0,7114.0,0.0043,
160903,2020-04-16,22.0,4.0,4223.0,0.0043,
160904,2020-04-17,22.0,1.0,7688.0,0.0043,
160905,2020-04-18,18.0,2.0,8371.0,0.0039,
160906,2020-04-19,8.0,2.0,4275.0,0.0033,
160907,2020-04-20,13.0,2.0,3926.0,0.0031,
160908,2020-04-21,9.0,1.0,7979.0,0.0027,
160909,2020-04-22,11.0,1.0,6945.0,0.0024,
160910,2020-04-23,14.0,2.0,6012.0,0.0021,
160911,2020-04-24,10.0,0.0,5549.0,0.0019,
160912,2020-04-25,10.0,2.0,5641.0,0.0019,
160913,2020-04-26,10.0,1.0,3124.0,0.002,
160914,2020-04-27,14.0,1.0,3375.0,0.002,
160915,2020-04-28,9.0,2.0,6854.0,0.0021,
160916,2020-04-29,4.0,1.0,5683.0,0.002,
160917,2020-04-30,9.0,1.0,5684.0,0.0018,
160918,2020-05-01,6.0,2.0,3188.0,0.0018,
160919,2020-05-02,13.0,0.0,4493.0,0.002,
160920,2020-05-03,8.0,2.0,3411.0,0.0019,
160921,2020-05-04,3.0,2.0,2948.0,0.0016,
160922,2020-05-05,2.0,1.0,6316.0,0.0014,
160923,2020-05-06,4.0,1.0,2858.0,0.0016,
160924,2020-05-07,12.0,0.0,6293.0,0.0016,
160925,2020-05-08,18.0,0.0,5475.0,0.0019,
160926,2020-05-09,34.0,0.0,5167.0,0.0025,
160927,2020-05-10,35.0,0.0,3856.0,0.0033,
160928,2020-05-11,27.0,2.0,4606.0,0.0038,
160929,2020-05-12,26.0,1.0,12398.0,0.0038,
160930,2020-05-13,29.0,1.0,15030.0,0.0034,
160931,2020-05-14,27.0,0.0,15564.0,0.0032,
160932,2020-05-15,19.0,2.0,15263.0,0.0027,
160933,2020-05-16,13.0,0.0,13898.0,0.0022,
160934,2020-05-17,15.0,1.0,7008.0,0.0019,
160935,2020-05-18,13.0,0.0,5558.0,0.0017,
